汉字	max综合类型	max综合正字	min综合类型	min综合正字
𦦣	0	𦦣	0	𦦣
𦦤	1	農	1	農
𦦥	1	農	1	農
𦦧	2	𦦝&𦦧	0	𦦧
𦦨	1	焰	3	
𦦩	0	𦦩	0	𦦩
𦦪	2	𤔱&𦦪	2	𤔱&𦦪
𦦫	0	𦦫	0	𦦫
𦦬	1	讓	1	讓
𦦭	1	喪	1	喪
𦦯	0	𦦯	0	𦦯
𦦰	3	搗&擣&𦦾	1	擣
𦦱	1	臿	1	臿
𦦲	2	與&𦦲	2	與&𦦲
𦦶	1	壤	1	壤
𦦹	1	鑿	1	鑿
𦦺	1	𦦾	1	𦦾
𦦻	2	狒&𦦻	0	𦦻
𦦼	1	溲	1	溲
𦦽	0	𦦽	0	𦦽
𦦾	0	𦦾	0	𦦾
𦦿	2	嬰&𦦿	2	嬰&𦦿
𦧁	1	𦦧	1	𦦧
𦧂	3	𢍱&䙲	1	䙲
𦧅	0	𦧅	0	𦧅
𦧇	1	舐	1	舐
𦧈	2	噤&𤘡&𦧈	0	𦧈
𦧉	0	𦧉	0	𦧉
