[2025-10-04 04:03:15]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.329s]
[2025-10-04 04:03:15]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:15]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:15]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:15]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:16]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.977s]
[2025-10-04 04:03:16]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:16]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:16]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:16]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:17]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.040s]
[2025-10-04 04:03:17]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:17]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:17]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:17]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:18]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.534s]
[2025-10-04 04:03:18]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:18]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:18]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:18]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.004s]
[2025-10-04 04:03:19]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.156s]
[2025-10-04 04:03:19]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:19]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:19]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:19]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:20]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.044s]
[2025-10-04 04:03:20]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:20]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:20]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:20]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:21]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.228s]
[2025-10-04 04:03:21]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:21]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:21]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:21]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.596s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:22]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.296s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.382s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.608s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:24]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.004s]
[2025-10-04 04:03:25]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.008s]
[2025-10-04 04:03:25]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:25]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:26]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:26]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:27]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.078s]
[2025-10-04 04:03:27]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:27]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:27]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:27]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:28]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.023s]
[2025-10-04 04:03:28]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:28]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:28]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:28]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:29]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.901s]
[2025-10-04 04:03:29]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:29]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:29]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:29]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.009s]
[2025-10-04 04:03:31]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.934s]
[2025-10-04 04:03:31]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:31]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:31]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.003s]
[2025-10-04 04:03:31]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:32]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.357s]
[2025-10-04 04:03:32]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:32]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:32]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:32]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:33]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.032s]
[2025-10-04 04:03:33]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:33]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:33]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:33]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:34]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.184s]
[2025-10-04 04:03:34]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:34]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:34]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:34]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.097s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:36]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.844s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.042s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.782s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.003s]
[2025-10-04 04:03:37]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
