page,issue_type,obj_id,detail
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c75,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c402c76,expected column b1c402
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c1,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c2,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c3,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c4,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c5,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c77,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c78,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c405c79,expected column b1c405
HN_5_4_253,CHAR_MISSING_COLUMN,b1c407c1,expected column b1c407
HN_5_4_253,CHAR_MISSING_COLUMN,b1c407c2,expected column b1c407
HN_5_4_253,CHAR_MISSING_COLUMN,b1c407c3,expected column b1c407
HN_5_4_253,CHAR_MISSING_COLUMN,b1c407c80,expected column b1c407
HN_5_4_253,CHAR_MISSING_COLUMN,b1c407c81,expected column b1c407
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c1,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c2,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c3,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c4,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c5,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c6,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c82,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c83,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c410c84,expected column b1c410
HN_5_4_253,CHAR_MISSING_COLUMN,b1c413c1,expected column b1c413
